Date,Open,High,Low,Close,Adj Close,Volume
2022-07-19,52.156666,53.283333,51.983334,53.106667,51.519665,2206800
2022-07-20,54.176666,56.663334,54.166668,56.346668,54.662849,4931700
2022-07-21,56.533333,58.016666,56.143333,58.000000,56.266773,3719700
2022-07-22,58.023335,58.299999,57.160000,57.533333,55.814049,4148700
2022-07-25,57.580002,57.996666,56.926666,57.333332,55.620026,2984100
2022-07-26,56.959999,57.756668,56.666668,57.669998,55.946629,3321000
2022-07-27,57.993332,58.333332,57.606667,57.996666,56.263542,2544000
2022-07-28,58.136665,60.086666,57.973331,59.806667,58.019444,3229200
2022-07-29,59.723331,60.446667,59.560001,60.299999,58.498039,2257500
2022-08-01,59.759998,60.266666,59.430000,59.619999,57.838364,1902600
2022-08-02,59.389999,59.903332,59.063332,59.563332,57.783382,2003400
2022-08-03,59.693333,60.240002,59.459999,60.056667,58.261978,1860000
2022-08-04,60.243332,61.040001,60.216667,60.930000,59.109222,1961100
2022-08-05,60.503334,60.936668,60.139999,60.689999,58.876389,1461300
2022-08-08,60.696667,61.320000,60.583332,60.950001,59.128620,1031400
2022-08-09,60.796665,61.166668,60.669998,61.056667,59.232090,1349700
2022-08-10,61.759998,62.423332,61.680000,62.200001,60.341263,2002500
2022-08-11,62.419998,62.660000,61.980000,62.189999,60.331562,1325400
2022-08-12,62.786667,63.513332,62.410000,63.473331,61.576546,1431900
2022-08-15,63.246666,64.783333,63.000000,63.983334,62.071304,2126100
2022-08-16,63.896667,63.983334,63.156666,63.863335,61.954891,1927800
2022-08-17,63.786667,64.790001,63.639999,64.593330,62.663074,1908000
2022-08-18,64.466667,64.663330,63.536667,64.040001,62.126278,1774200
2022-08-19,63.450001,63.450001,62.119999,62.369999,60.506180,2967900
2022-08-22,62.043331,62.593334,61.686668,61.943333,60.092270,1828500
2022-08-23,61.393333,61.796665,61.043331,61.439999,59.603973,1870200
2022-08-24,61.483334,62.216667,61.439999,62.073334,60.218384,2077500
2022-08-25,62.119999,62.546665,61.866669,62.396667,60.532055,992700
2022-08-26,62.410000,62.566666,60.669998,60.689999,58.876389,1778400
2022-08-29,60.320000,60.820000,59.639999,59.700001,57.915974,1743000
2022-08-30,60.160000,60.450001,59.369999,59.599998,57.818958,2037700
2022-08-31,59.900002,60.259998,59.340000,59.529999,57.751049,3367400
2022-09-01,59.029999,60.060001,58.799999,59.990002,58.197308,1881900
2022-09-02,60.410000,61.250000,59.500000,59.680000,57.896568,1570600
2022-09-06,59.750000,60.660000,59.540001,60.619999,58.808479,1972600
2022-09-07,60.660000,62.459999,60.660000,62.419998,60.554688,1724600
2022-09-08,62.020000,63.139999,61.980000,63.090000,61.204666,2154700
2022-09-09,63.099998,63.580002,63.000000,63.259998,61.369587,1276800
2022-09-12,63.490002,64.129997,63.209999,64.110001,62.194187,1693700
2022-09-13,62.869999,63.029999,61.549999,61.849998,60.001720,1615400
2022-09-14,62.310001,62.860001,61.459999,62.029999,60.176346,1677800
2022-09-15,61.799999,62.209999,61.029999,61.110001,59.475605,1477000
2022-09-16,61.040001,61.150002,60.139999,61.009998,59.378277,3536900
2022-09-19,60.509998,60.830002,60.209999,60.730000,59.105762,1473000
2022-09-20,60.369999,60.570000,58.799999,59.200001,57.616684,1967700
2022-09-21,59.709999,60.419998,58.570000,58.570000,57.003529,1813000
2022-09-22,58.279999,58.369999,56.889999,57.400002,55.864826,1793400
2022-09-23,57.099998,57.279999,56.200001,56.930000,55.407394,1921000
2022-09-26,56.900002,57.139999,56.290001,56.570000,55.057022,1772000
2022-09-27,57.009998,57.310001,56.369999,56.959999,55.436592,1697500
2022-09-28,57.250000,58.590000,56.910000,58.320000,56.760223,2006400
2022-09-29,57.959999,58.029999,56.790001,57.110001,55.582584,2177000
2022-09-30,57.290001,58.040001,56.509998,56.680000,55.164078,2021500
2022-10-03,56.970001,58.400002,56.599998,58.330002,56.769955,1863200
2022-10-04,59.220001,59.970001,59.009998,59.900002,58.297962,1810900
2022-10-05,59.450001,60.299999,58.959999,59.720001,58.122776,1911100
2022-10-06,59.700001,60.400002,59.419998,59.509998,57.918388,1510300
2022-10-07,58.980000,59.099998,57.310001,57.660000,56.117870,1523200
2022-10-10,57.930000,58.000000,57.119999,57.700001,56.156796,1154800
2022-10-11,57.590000,58.709999,57.320000,58.099998,56.546101,1906000
2022-10-12,58.139999,58.250000,57.560001,57.580002,56.040012,1241800
2022-10-13,56.439999,58.680000,55.820000,58.549999,56.984066,2262900
2022-10-14,57.970001,58.209999,54.660000,54.750000,53.285698,3426300
2022-10-17,55.470001,57.400002,55.470001,56.750000,55.232208,2744500
2022-10-18,57.840000,58.130001,56.770000,57.209999,55.679905,2807000
2022-10-19,56.970001,57.470001,55.500000,56.000000,54.502266,2630600
2022-10-20,56.189999,57.119999,55.939999,56.840000,55.319794,2137100
2022-10-21,56.860001,57.849998,56.020000,57.740002,56.195736,2378100
2022-10-24,58.040001,59.480000,57.930000,58.770000,57.198181,1507000
2022-10-25,59.150002,60.680000,59.130001,60.549999,58.930576,2134200
2022-10-26,60.680000,61.160000,59.939999,60.029999,58.424484,2428600
2022-10-27,60.389999,61.450001,60.380001,60.650002,59.027901,1643500
2022-10-28,60.820000,62.330002,60.419998,62.279999,60.614304,1583000
2022-10-31,62.000000,62.520000,61.849998,62.240002,60.575378,2623800
2022-11-01,62.570000,62.970001,61.799999,62.349998,60.682434,1724500
2022-11-02,61.810001,62.750000,60.700001,60.720001,59.096027,1857400
2022-11-03,60.259998,62.209999,60.209999,61.570000,59.923294,1805600
2022-11-04,61.959999,62.119999,60.599998,61.900002,60.244473,1666400
2022-11-07,62.090000,62.450001,61.500000,62.410000,60.740833,2047500
2022-11-08,62.860001,65.660004,62.529999,64.570000,62.843060,3369700
2022-11-09,64.510002,65.250000,63.470001,63.610001,61.908733,3020100
2022-11-10,65.250000,66.339996,64.540001,66.209999,64.439209,2351800
2022-11-11,66.529999,66.900002,65.940002,66.400002,64.624123,1797200
2022-11-14,66.059998,67.120003,65.680000,66.040001,64.273735,1824300
2022-11-15,66.709999,66.989998,64.459999,64.790001,63.057182,2372200
2022-11-16,64.860001,65.690002,64.860001,65.360001,63.611935,1303900
2022-11-17,64.849998,65.080002,64.059998,64.860001,63.125301,1414200
2022-11-18,65.489998,65.639999,64.639999,65.519997,63.767651,3453500
2022-11-21,65.559998,66.250000,65.190002,65.959999,64.195885,1468600
2022-11-22,66.160004,66.629997,65.870003,66.519997,64.740906,1876600
2022-11-23,66.449997,67.730003,66.449997,67.129997,65.334587,1170100
2022-11-25,67.129997,67.610001,66.739998,67.150002,65.354057,605000
2022-11-28,66.809998,67.180000,66.199997,66.269997,64.497589,1452800
2022-11-29,66.150002,66.730003,65.930000,66.099998,64.332138,1721600
2022-11-30,66.279999,68.910004,66.129997,68.459999,66.629013,4030800
2022-12-01,68.570000,69.110001,68.129997,68.489998,66.853523,1089700
2022-12-02,67.739998,69.220001,67.720001,68.980003,67.331825,1129900
2022-12-05,68.750000,68.820000,67.570000,67.860001,66.238586,1796500
2022-12-06,67.839996,68.099998,66.570000,67.010002,65.408890,2158100
2022-12-07,66.900002,67.470001,64.699997,64.839996,63.290741,3261800
2022-12-08,65.000000,65.470001,63.939999,64.190002,62.656273,2666000
2022-12-09,63.849998,64.209999,63.139999,63.200001,61.689926,2713600
2022-12-12,63.080002,64.699997,63.000000,64.680000,63.134563,2198500
2022-12-13,66.139999,66.690002,64.540001,64.989998,63.437149,2250100
2022-12-14,65.120003,65.360001,63.099998,63.590000,62.070606,4219900
2022-12-15,62.869999,63.340000,61.540001,61.740002,60.264809,2987900
2022-12-16,61.029999,61.480000,60.540001,60.619999,59.171570,4148900
2022-12-19,60.419998,60.900002,60.090000,60.459999,59.015388,2357200
2022-12-20,60.459999,60.700001,60.060001,60.119999,58.683514,1936600
2022-12-21,60.450001,61.860001,60.290001,61.509998,60.040298,1511300
2022-12-22,61.139999,61.139999,60.070000,61.060001,59.601051,1373100
2022-12-23,60.900002,61.560001,60.619999,61.279999,59.815800,735800
